origination_month,score_band_v2,nb_clients,months_since_origination,clients_on_default
2018-06,3.0,19956,8,552
2018-06,3.0,19956,9,516
2018-06,3.0,19956,10,501
2018-06,3.0,19956,11,501
2018-06,4.0,16221,0,0
2018-06,4.0,16221,1,12
2018-06,4.0,16221,2,60
2018-06,4.0,16221,3,132
2018-06,4.0,16221,4,222
2018-06,4.0,16221,5,279
2018-06,4.0,16221,6,333
2018-06,4.0,16221,7,366
2018-06,4.0,16221,8,375
2018-06,4.0,16221,9,369
2018-06,4.0,16221,10,360
2018-06,4.0,16221,11,354
2018-06,5.0,9030,0,0
2018-06,5.0,9030,1,3
2018-06,5.0,9030,2,24
2018-06,5.0,9030,3,48
2018-06,5.0,9030,4,87
2018-06,5.0,9030,5,105
2018-06,5.0,9030,6,153
2018-06,5.0,9030,7,156
2018-06,5.0,9030,8,138
2018-06,5.0,9030,9,135
2018-06,5.0,9030,10,141
2018-06,5.0,9030,11,138
2018-06,6.0,13869,0,0
2018-06,6.0,13869,1,12
2018-06,6.0,13869,2,12
2018-06,6.0,13869,3,36
2018-06,6.0,13869,4,51
2018-06,6.0,13869,5,99
2018-06,6.0,13869,6,126
2018-06,6.0,13869,7,135
2018-06,6.0,13869,8,141
2018-06,6.0,13869,9,156
2018-06,6.0,13869,10,150
2018-06,6.0,13869,11,159
2018-06,7.0,7932,0,0
2018-06,7.0,7932,1,3
2018-06,7.0,7932,2,12
2018-06,7.0,7932,3,27
2018-06,7.0,7932,4,12
2018-06,7.0,7932,5,39
2018-06,7.0,7932,6,30
2018-06,7.0,7932,7,39
2018-06,7.0,7932,8,48
2018-06,7.0,7932,9,54
2018-06,7.0,7932,10,54
2018-06,7.0,7932,11,42
2018-07,1.0,23922,0,0
2018-07,1.0,23922,1,39
2018-07,1.0,23922,2,255
2018-07,1.0,23922,3,501
2018-07,1.0,23922,4,786
2018-07,1.0,23922,5,1059
2018-07,1.0,23922,6,1257
2018-07,1.0,23922,7,1227
2018-07,1.0,23922,8,1164
2018-07,1.0,23922,9,1101
2018-07,1.0,23922,10,1029
2018-07,2.0,17316,0,0
2018-07,2.0,17316,1,18
2018-07,2.0,17316,2,162
2018-07,2.0,17316,3,312
2018-07,2.0,17316,4,450
2018-07,2.0,17316,5,570
2018-07,2.0,17316,6,711
2018-07,2.0,17316,7,726
2018-07,2.0,17316,8,699
2018-07,2.0,17316,9,645
2018-07,2.0,17316,10,651
2018-07,3.0,15846,0,0
2018-07,3.0,15846,1,9
2018-07,3.0,15846,2,96
2018-07,3.0,15846,3,222
2018-07,3.0,15846,4,318
2018-07,3.0,15846,5,411
2018-07,3.0,15846,6,504
2018-07,3.0,15846,7,516
2018-07,3.0,15846,8,492
2018-07,3.0,15846,9,474
2018-07,3.0,15846,10,444
2018-07,4.0,9570,0,0
2018-07,4.0,9570,1,12
2018-07,4.0,9570,2,66
2018-07,4.0,9570,3,93
2018-07,4.0,9570,4,141
2018-07,4.0,9570,5,198
2018-07,4.0,9570,6,228
2018-07,4.0,9570,7,255
2018-07,4.0,9570,8,243
2018-07,4.0,9570,9,237
2018-07,4.0,9570,10,213
2018-07,5.0,15579,0,0
2018-07,5.0,15579,1,0
2018-07,5.0,15579,2,48
2018-07,5.0,15579,3,90
2018-07,5.0,15579,4,138
2018-07,5.0,15579,5,180
2018-07,5.0,15579,6,216
2018-07,5.0,15579,7,255
2018-07,5.0,15579,8,243
2018-07,5.0,15579,9,231
2018-07,5.0,15579,10,240
2018-07,6.0,8670,0,0
2018-07,6.0,8670,1,0
2018-07,6.0,8670,2,21
2018-07,6.0,8670,3,27
2018-07,6.0,8670,4,24
2018-07,6.0,8670,5,39
2018-07,6.0,8670,6,84
2018-07,6.0,8670,7,75
2018-07,6.0,8670,8,84
2018-07,6.0,8670,9,69
2018-07,6.0,8670,10,93
2018-07,7.0,8784,0,0
2018-07,7.0,8784,1,0
2018-07,7.0,8784,2,15
2018-07,7.0,8784,3,9
2018-07,7.0,8784,4,21
2018-07,7.0,8784,5,30
2018-07,7.0,8784,6,48
2018-07,7.0,8784,7,48
2018-07,7.0,8784,8,66
2018-07,7.0,8784,9,69
2018-07,7.0,8784,10,45
2018-08,1.0,31038,0,0
2018-08,1.0,31038,1,72
2018-08,1.0,31038,2,393
2018-08,1.0,31038,3,729
2018-08,1.0,31038,4,1071
2018-08,1.0,31038,5,1401
2018-08,1.0,31038,6,1629
2018-08,1.0,31038,7,1536
2018-08,1.0,31038,8,1536
2018-08,1.0,31038,9,1482
2018-08,2.0,19668,0,0
2018-08,2.0,19668,1,24
2018-08,2.0,19668,2,201
2018-08,2.0,19668,3,357
2018-08,2.0,19668,4,540
2018-08,2.0,19668,5,732
2018-08,2.0,19668,6,855
2018-08,2.0,19668,7,762
2018-08,2.0,19668,8,774
2018-08,2.0,19668,9,738
2018-08,3.0,14091,0,0
2018-08,3.0,14091,1,0
2018-08,3.0,14091,2,96
2018-08,3.0,14091,3,198
2018-08,3.0,14091,4,276
2018-08,3.0,14091,5,384
2018-08,3.0,14091,6,450
2018-08,3.0,14091,7,459
2018-08,3.0,14091,8,444
2018-08,3.0,14091,9,435
2018-08,4.0,13677,0,0
2018-08,4.0,13677,1,15
2018-08,4.0,13677,2,78
2018-08,4.0,13677,3,159
2018-08,4.0,13677,4,231
2018-08,4.0,13677,5,294
2018-08,4.0,13677,6,348
2018-08,4.0,13677,7,348
2018-08,4.0,13677,8,354
2018-08,4.0,13677,9,366
2018-08,5.0,8610,0,0
2018-08,5.0,8610,1,21
2018-08,5.0,8610,2,24
2018-08,5.0,8610,3,75
2018-08,5.0,8610,4,96
2018-08,5.0,8610,5,129
2018-08,5.0,8610,6,156
2018-08,5.0,8610,7,147
2018-08,5.0,8610,8,144
2018-08,5.0,8610,9,159
2018-08,6.0,9786,0,0
2018-08,6.0,9786,1,6
2018-08,6.0,9786,2,15
2018-08,6.0,9786,3,27
2018-08,6.0,9786,4,63
2018-08,6.0,9786,5,57
2018-08,6.0,9786,6,84
2018-08,6.0,9786,7,93
2018-08,6.0,9786,8,108
2018-08,6.0,9786,9,102
2018-08,7.0,3603,0,0
2018-08,7.0,3603,1,12
2018-08,7.0,3603,2,6
2018-08,7.0,3603,3,12
2018-08,7.0,3603,4,12
2018-08,7.0,3603,5,21
2018-08,7.0,3603,6,9
2018-08,7.0,3603,7,9
2018-08,7.0,3603,8,6
2018-08,7.0,3603,9,15
2018-09,1.0,27087,0,0
2018-09,1.0,27087,1,51
2018-09,1.0,27087,2,339
2018-09,1.0,27087,3,651
2018-09,1.0,27087,4,942
2018-09,1.0,27087,5,1167
2018-09,1.0,27087,6,1323
2018-09,1.0,27087,7,1332
2018-09,1.0,27087,8,1275
2018-09,2.0,15462,0,0
2018-09,2.0,15462,1,6
2018-09,2.0,15462,2,138
2018-09,2.0,15462,3,237
2018-09,2.0,15462,4,399
2018-09,2.0,15462,5,525
2018-09,2.0,15462,6,594
2018-09,2.0,15462,7,606
2018-09,2.0,15462,8,615
2018-09,3.0,14910,0,0
2018-09,3.0,14910,1,21
2018-09,3.0,14910,2,105
2018-09,3.0,14910,3,216
2018-09,3.0,14910,4,348
2018-09,3.0,14910,5,453
2018-09,3.0,14910,6,516
2018-09,3.0,14910,7,546
2018-09,3.0,14910,8,531
2018-09,4.0,20037,0,0
2018-09,4.0,20037,1,18
2018-09,4.0,20037,2,120
2018-09,4.0,20037,3,234
2018-09,4.0,20037,4,342
2018-09,4.0,20037,5,438
2018-09,4.0,20037,6,522
2018-09,4.0,20037,7,531
2018-09,4.0,20037,8,534
2018-09,5.0,15069,0,0
2018-09,5.0,15069,1,12
2018-09,5.0,15069,2,60
2018-09,5.0,15069,3,90
2018-09,5.0,15069,4,153
2018-09,5.0,15069,5,213
2018-09,5.0,15069,6,255
2018-09,5.0,15069,7,261
2018-09,5.0,15069,8,261
2018-09,6.0,10857,0,0
2018-09,6.0,10857,1,0
2018-09,6.0,10857,2,6
2018-09,6.0,10857,3,39
2018-09,6.0,10857,4,78
2018-09,6.0,10857,5,75
2018-09,6.0,10857,6,111
2018-09,6.0,10857,7,102
2018-09,6.0,10857,8,117
2018-09,7.0,6873,0,0
2018-09,7.0,6873,1,6
2018-09,7.0,6873,2,12
2018-09,7.0,6873,3,21
2018-09,7.0,6873,4,9
2018-09,7.0,6873,5,33
2018-09,7.0,6873,6,27
2018-09,7.0,6873,7,24
2018-09,7.0,6873,8,33
2018-10,1.0,27018,0,0
2018-10,1.0,27018,1,48
2018-10,1.0,27018,2,360
2018-10,1.0,27018,3,666
2018-10,1.0,27018,4,969
2018-10,1.0,27018,5,1164
2018-10,1.0,27018,6,1341
2018-10,1.0,27018,7,1308
2018-10,2.0,25290,0,0
2018-10,2.0,25290,1,39
2018-10,2.0,25290,2,279
2018-10,2.0,25290,3,552
2018-10,2.0,25290,4,762
2018-10,2.0,25290,5,927
2018-10,2.0,25290,6,1077
2018-10,2.0,25290,7,1119
2018-10,3.0,23637,0,0
2018-10,3.0,23637,1,24
2018-10,3.0,23637,2,189
2018-10,3.0,23637,3,369
2018-10,3.0,23637,4,528
2018-10,3.0,23637,5,645
2018-10,3.0,23637,6,810
2018-10,3.0,23637,7,804
2018-10,4.0,14964,0,0
2018-10,4.0,14964,1,0
2018-10,4.0,14964,2,108
2018-10,4.0,14964,3,192
2018-10,4.0,14964,4,258
2018-10,4.0,14964,5,315
2018-10,4.0,14964,6,411
2018-10,4.0,14964,7,405
2018-10,5.0,12738,0,0
2018-10,5.0,12738,1,12
2018-10,5.0,12738,2,54
2018-10,5.0,12738,3,87
2018-10,5.0,12738,4,141
2018-10,5.0,12738,5,150
2018-10,5.0,12738,6,213
2018-10,5.0,12738,7,225
2018-10,6.0,12141,0,0
2018-10,6.0,12141,1,12
2018-10,6.0,12141,2,45
2018-10,6.0,12141,3,54
2018-10,6.0,12141,4,69
2018-10,6.0,12141,5,102
2018-10,6.0,12141,6,102
2018-10,6.0,12141,7,114
2018-10,7.0,5928,0,0
2018-10,7.0,5928,1,0
2018-10,7.0,5928,2,9
2018-10,7.0,5928,3,6
2018-10,7.0,5928,4,18
2018-10,7.0,5928,5,30
2018-10,7.0,5928,6,33
2018-10,7.0,5928,7,24
2018-11,1.0,39474,0,0
2018-11,1.0,39474,1,111
2018-11,1.0,39474,2,618
2018-11,1.0,39474,3,1053
2018-11,1.0,39474,4,1431
2018-11,1.0,39474,5,1800
2018-11,1.0,39474,6,2097
2018-11,2.0,16329,0,0
2018-11,2.0,16329,1,27
2018-11,2.0,16329,2,216
2018-11,2.0,16329,3,363
2018-11,2.0,16329,4,507
2018-11,2.0,16329,5,675
2018-11,2.0,16329,6,786
2018-11,3.0,17007,0,0
2018-11,3.0,17007,1,30
2018-11,3.0,17007,2,168
2018-11,3.0,17007,3,270
2018-11,3.0,17007,4,402
2018-11,3.0,17007,5,534
2018-11,3.0,17007,6,639
2018-11,4.0,18171,0,0
2018-11,4.0,18171,1,21
2018-11,4.0,18171,2,120
2018-11,4.0,18171,3,222
2018-11,4.0,18171,4,321
2018-11,4.0,18171,5,429
2018-11,4.0,18171,6,492
2018-11,5.0,16191,0,0
2018-11,5.0,16191,1,15
2018-11,5.0,16191,2,57
2018-11,5.0,16191,3,126
2018-11,5.0,16191,4,159
2018-11,5.0,16191,5,195
2018-11,5.0,16191,6,249
2018-11,6.0,8172,0,0
2018-11,6.0,8172,1,15
2018-11,6.0,8172,2,27
2018-11,6.0,8172,3,45
2018-11,6.0,8172,4,54
2018-11,6.0,8172,5,78
2018-11,6.0,8172,6,99
2018-11,7.0,6561,0,0
2018-11,7.0,6561,1,0
2018-11,7.0,6561,2,3
2018-11,7.0,6561,3,0
2018-11,7.0,6561,4,30
2018-11,7.0,6561,5,9
2018-11,7.0,6561,6,42
2018-12,1.0,30222,0,0
2018-12,1.0,30222,1,66
2018-12,1.0,30222,2,492
2018-12,1.0,30222,3,822
2018-12,1.0,30222,4,1194
2018-12,1.0,30222,5,1551
2018-12,2.0,39762,0,0
2018-12,2.0,39762,1,66
2018-12,2.0,39762,2,561
2018-12,2.0,39762,3,903
2018-12,2.0,39762,4,1365
2018-12,2.0,39762,5,1737
2018-12,3.0,22299,0,0
2018-12,3.0,22299,1,24
2018-12,3.0,22299,2,228
2018-12,3.0,22299,3,411
2018-12,3.0,22299,4,588
2018-12,3.0,22299,5,756
2018-12,4.0,13629,0,0
2018-12,4.0,13629,1,3
2018-12,4.0,13629,2,87
2018-12,4.0,13629,3,165
2018-12,4.0,13629,4,243
2018-12,4.0,13629,5,315
2018-12,5.0,21108,0,0
2018-12,5.0,21108,1,24
2018-12,5.0,21108,2,108
2018-12,5.0,21108,3,189
2018-12,5.0,21108,4,288
2018-12,5.0,21108,5,363
2018-12,6.0,10053,0,0
2018-12,6.0,10053,1,0
2018-12,6.0,10053,2,24
2018-12,6.0,10053,3,30
2018-12,6.0,10053,4,54
2018-12,6.0,10053,5,78
2018-12,7.0,5589,0,0
2018-12,7.0,5589,1,3
2018-12,7.0,5589,2,15
2018-12,7.0,5589,3,12
2018-12,7.0,5589,4,3
2018-12,7.0,5589,5,24
2019-01,1.0,32103,0,0
2019-01,1.0,32103,1,48
2019-01,1.0,32103,2,489
2019-01,1.0,32103,3,891
2019-01,1.0,32103,4,1275
2019-01,2.0,25599,0,0
2019-01,2.0,25599,1,39
2019-01,2.0,25599,2,324
2019-01,2.0,25599,3,651
2019-01,2.0,25599,4,957
2019-01,3.0,17376,0,0
2019-01,3.0,17376,1,36
2019-01,3.0,17376,2,165
2019-01,3.0,17376,3,336
2019-01,3.0,17376,4,495
2019-01,4.0,17994,0,0
2019-01,4.0,17994,1,24
2019-01,4.0,17994,2,132
2019-01,4.0,17994,3,246
2019-01,4.0,17994,4,375
2019-01,5.0,15003,0,0
2019-01,5.0,15003,1,21
2019-01,5.0,15003,2,93
2019-01,5.0,15003,3,156
2019-01,5.0,15003,4,222
2019-01,6.0,12741,0,0
2019-01,6.0,12741,1,15
2019-01,6.0,12741,2,39
2019-01,6.0,12741,3,42
2019-01,6.0,12741,4,84
2019-01,7.0,4665,0,0
2019-01,7.0,4665,1,3
2019-01,7.0,4665,2,15
2019-01,7.0,4665,3,0
2019-01,7.0,4665,4,24
